CO_PORTARIA|DT_PORTARIA|CO_PROCESSO|DS_TIPO_PREGAO|DS_TIPO_PREGAO_COMPRA|TX_OBJETO|CO_UASG|DT_DATA_EDITAL|DT_INICIO_PROPOSTA|DT_FIM_PROPOSTA|
ASG nº 73, de 2014|2014-10-15T00:00:00|001-000865/2014|eletronico|SISPP|Objeto: Pregão Eletrônico -  Fornecimento de medicamentos e medicamentos de uso controlado destinados a compor estoque do Setor de Assistência a Saúde da Câmara Legislativa do Distrito Federal.|974004|2015-03-03T00:00:00|2015-03-03T08:00:00|2015-03-16T09:30:00
Ato do Presidente nº 684, de 2015|2015-10-22T00:00:00|0010018122015|eletronico|SISPP|Objeto: Pregão Eletrônico -  Fornecimento de medicamentos e medicamentos de uso controlado destinados a compor estoque do Setor de Assistência a Saúde da Câmara Legislativa do Distrito Federal, de acordo com as especificações e quantitativos constantes do Termo de Referência ? Anexo I do Edital.|974004|2016-01-07T00:00:00|2016-01-08T08:00:00|2016-01-26T09:30:00
Ato do Presidente nº 388, de 2016|2016-10-18T00:00:00|001-000.816/2016|eletronico|SISPP|Objeto: Pregão Eletrônico -  Contratação de empresa especializada para o fornecimento de medicamentos e insumos médicos, sob demanda, para atendimento do Setor de Assistência à Saúde da CLDF.|974004|2017-03-03T00:00:00|2017-03-03T08:00:00|2017-03-16T09:30:00
ASG Nº 73, de 2014|2014-10-15T00:00:00|001-001.047/2014|eletronico|SISPP|Objeto: Pregão Eletrônico -  Prestação de serviços de manutenção preventiva nos veículos automotores da frota da Câmara Legislativa do Distrito Federal.|974004|2015-03-26T00:00:00|2015-03-26T08:00:00|2015-04-10T09:30:00
Ato do Presidente nº 684, de 2015|2015-10-22T00:00:00|0010018322015|eletronico|SISPP|Objeto: Pregão Eletrônico -  Contratação de empresa especializada para a prestação de serviços contínuos de copeiragem, com fornecimento de material de consumo por demanda e de equipamentos, para atender as necessidades da Câmara Legislativa do Distrito Federal - CLDF, de acordo com as especificações e quantitativos constantes do Termo de Referência - Anexo I do Edital.|974004|2016-01-07T00:00:00|2016-01-07T08:00:00|2016-01-19T09:30:00
Ato do Presidente nº 388, de 2016|2016-10-18T00:00:00|0010002792017|eletronico|SISPP|Objeto: Pregão Eletrônico -  Aquisição de materiais de limpeza e higiene, copa e cozinha, destinada a suprir a demanda da Câmara Legislativa do Distrito Federal - CLDF, para o 1º semestre de 2017, de acordo com as especificações e quantitativos constantes do Termo de Referência, Anexo I do Edital.|974004|2017-03-14T00:00:00|2017-03-14T08:00:00|2017-03-27T09:30:00
ASG nº 73, de 2014|2014-10-15T00:00:00|0010010562014|eletronico|SISPP|Objeto: Pregão Eletrônico -  Aquisição de material de peças para a manutenção dos elevadores OTIS instalados no edifício sede da Câmara Legislativa do Distrito.|974004|2015-04-13T00:00:00|2015-04-13T08:00:00|2015-04-28T09:30:00
Ato do Presidente nº 684, de 2015|2015-10-22T00:00:00|0010016602015|eletronico|SISPP|Objeto: Pregão Eletrônico -  Aquisição de suprimentos de impressão destinadas a suprir a demanda da Câmara Legislativa do Distrito Federal ? CLDF para o 2¨ semestre de 2015, de acordo com as especificações e quantitativos constantes do Termo de Referência ? Anexo I do Edital.|974004|2016-01-07T00:00:00|2016-01-26T08:00:00|2016-02-11T09:30:00
Ato do Presidente nº 388, de 2016|2016-10-18T00:00:00|0010014212015|eletronico|SISPP|Objeto: Pregão Eletrônico -  Aquisição de bem permanente, cadeira fixa sobre longarina de 2 e 3 lugares, de acordo com o a quantidade e especificação constante do Termo de Referência - Anexo I deste Edital para atender as necessidades da Câmara Legislativa do DF.|974004|2017-03-22T00:00:00|2017-03-22T08:00:00|2017-04-04T09:30:00
ASG Nº 73, de 2014|2014-10-15T00:00:00|0011682015|eletronico|SISPP|Objeto: Pregão Eletrônico -  Aquisição de materiais de expediente para atender as necessidades da Câmara Legislativa do Distrito Federal, de acordo com as especificações e quantitativos constantes do Termo de Referência - Anexo I do Edital.|974004|2015-04-20T00:00:00|2015-04-20T08:00:00|2015-05-07T09:30:00
